,Week,Name,Team,Opponent,Fanduel_Points,Fanduel_Price,Home
5335,14,"Jones, Marvin",det,gnb,6.8,6200.0,Home
5336,14,"Cooper, Pharoh",car,den,6.7,4500.0,Home
5337,14,"Meyers, Jakobi",nwe, lar,6.7,5700.0,Away
5338,14,"Beasley, Cole",buf,pit,6.6,5600.0,Home
5339,14,"Berrios, Braxton",nyj, sea,6.4,4800.0,Away
5340,14,"Harry, N'Keal",nwe, lar,6.4,5400.0,Away
5341,14,"Watkins, Sammy",kan, mia,6.2,5600.0,Away
5342,14,"Spencer, Diontae",den, car,6.0,4500.0,Away
5343,14,"Johnson, Diontae",pit, buf,6.0,6800.0,Away
5344,14,"Woods, Robert",lar,nwe,5.6,7000.0,Home
5345,14,"Pittman Jr., Michael",ind, lvr,5.5,5700.0,Away
5346,14,"Thielen, Adam",min, tam,5.4,7700.0,Away
5347,14,"Mitchell, Steven",hou, chi,5.3,4600.0,Away
5348,14,"Jeudy, Jerry",den, car,5.2,5600.0,Away
5349,14,"Shepard, Sterling",nyg,ari,5.0,5500.0,Home
5350,14,"James, Richie",sfo,was,4.8,4900.0,Home
5351,14,"Sanu, Mohamed",det,gnb,4.7,4700.0,Home
5352,14,"Grant, Jakeem",mia,kan,4.7,4900.0,Home
5353,14,"Slayton, Darius",nyg,ari,4.6,5400.0,Home
5354,14,"Tate, Golden",nyg,ari,4.4,5100.0,Home
5355,14,"Snead, Willie",bal, cle,4.4,5200.0,Away
5356,14,"Renfrow, Hunter",lvr,ind,4.3,5300.0,Home
5357,14,"Johnson, Collin",jac,ten,4.3,5100.0,Home
5358,14,"Perriman, Breshad",nyj, sea,4.1,5800.0,Away
5359,14,"Godwin, Chris",tam,min,3.5,7400.0,Home
5360,14,"McLaurin, Terry",was, sfo,3.4,7200.0,Away
5361,14,"Ruggs III, Henry",lvr,ind,3.3,5400.0,Home
5362,14,"Gallup, Michael",dal, cin,3.3,5300.0,Away
5363,14,"Pascal, Zach",ind, lvr,3.2,4700.0,Away
5364,14,"Ward, Greg",phi,nor,3.0,5000.0,Home
5365,14,"Claypool, Chase",pit, buf,3.0,6500.0,Away
5366,14,"Kirk, Christian",ari, nyg,2.9,5500.0,Away
5367,14,"Lazard, Allen",gnb, det,2.9,5800.0,Away
5368,14,"Davis, Corey",ten, jac,2.9,6800.0,Away
5369,14,"Hart, Penny",sea,nyj,2.7,4500.0,Home
5370,14,"Patterson, Cordarrelle",chi,hou,2.6,5500.0,Home
5371,14,"Miller, Anthony",chi,hou,2.6,5000.0,Home
5372,14,"Chark, D.J.",jac,ten,2.6,5900.0,Home
5373,14,"Cephus, Quintez",det,gnb,2.6,5000.0,Home
5374,14,"Scott, Jaleel",nyj, sea,2.1,4500.0,Away
5375,14,"Boykin, Miles",bal, cle,2.0,4600.0,Away
5376,14,"St. Brown, Equanimeous",gnb, det,2.0,4600.0,Away
5377,14,"Agnew, Jamal",det,gnb,2.0,4800.0,Home
5378,14,"Fitzgerald, Larry",ari, nyg,2.0,5000.0,Away
5379,14,"Smith, Jeff",nyj, sea,1.9,4500.0,Away
5380,14,"Hamilton, DaeSean",den, car,1.8,4600.0,Away
5381,14,"Robinson, Demarcus",kan, mia,1.8,5200.0,Away
5382,14,"Sims, Cam",was, sfo,1.8,4600.0,Away
5383,14,"Austin, Tavon",gnb, det,1.8,4500.0,Away
5384,14,"McKenzie, Isaiah",buf,pit,1.7,4600.0,Home
5385,14,"Crowder, Jamison",nyj, sea,1.7,6600.0,Away
5386,14,"Johnson, Juwan",nor, phi,1.6,4500.0,Away
5387,14,"Wright, Isaiah",was, sfo,1.4,4500.0,Away
5388,14,"Powell, Brandon",atl, lac,1.4,4600.0,Away
5389,14,"Johnson, KeeSean",ari, nyg,1.4,4700.0,Away
5390,14,"Guyton, Jalen",lac,atl,1.3,4900.0,Home
5391,14,"Jones, Zay",lvr,ind,1.16,4600.0,Home
5392,14,"Reynolds, Josh",lar,nwe,1.1,5200.0,Home
5393,14,"Perry, Malcolm",mia,kan,1.0,4500.0,Home
5394,14,"Sims Jr., Steven",was, sfo,1.0,4600.0,Away
5395,14,"Samuel, Deebo",sfo,was,0.9,6300.0,Home
5396,14,"Hill, K.J.",lac,atl,0.9,4500.0,Home
